Periode	Uang_Kartal_M1_miliar	E_Money_volume_ribu	E_Money_nilai_miliar	IHK	Suku_Bunga	IPR
2017-01-01	1191499,69	65043,408	1499,644496	127,94	4,75	207,2227223
2017-02-01	1196036,61	65260,142	2032,911909	128,24	4,75	197,1493894
2017-03-01	1215856,68	75164,032	2326,603424	128,22	4,75	204,0165712
2017-04-01	1245927,39	67336,518	2109,675625	128,33	4,75	206,4997946
2017-05-01	1275892,5	77384,661	2861,158846	128,83	4,75	214,2646276
2017-06-01	1341851,26	67459,272	2980,716702	129,72	4,75	232,4109417
2017-07-01	1293234,84	83532,588	3000,450275	130	4,75	209,9481913
2017-08-01	1274803,26	82230,47819	2784,026602	129,91	4,5	202,0570525
2017-09-01	1304373,83	87324,915	3138,76768	130,08	4,25	201,1904478
2017-10-01	1325762,33	133619,535	4356,208157	130,09	4,25	202,3152528
2017-11-01	1338143,33	159389,668	5093,291268	130,35	4,25	206,6873412
2017-12-01	1390806,95	198531,561	5896,358328	131,28	4,25	219,5202353
2018-01-01	1326741,99	248886,839	7584,841091	132,1	4,25	203,5080681
2018-02-01	1351258	218594,278	6901,690815	132,32	4,25	200,0340034
2018-03-01	1361135,48	241166,794	7003,480843	132,58	4,25	209,108328
2018-04-01	1372576,15	237031,061	7066,028434	132,71	4,25	215,0206082
2018-05-01	1404627,09	256676,237	7744,155031	132,99	4,75	231,9575847
2018-06-01	1452354,45	243924,054	7877,854698	133,77	5,25	237,8263504
2018-07-01	1383502,62	273656,997	7365,029457	134,14	5,25	216,0372154
2018-08-01	1384264,85	342227,022	9185,352818	134,07	5,5	214,2916382
2018-09-01	1411672,64	262275,757	9500,820991	133,83	5,75	210,830539
2018-10-01	1410577,6	350496,6925	11340,52075	134,2	5,75	208,1469001
2018-11-01	1405263,84	394826,175	13071,07895	134,56	6	213,7459572
2018-12-01	1457149,68	359252,658	12138,77148	135,39	6	236,3355733
2019-01-01	1376135,53	367938,992	54468,894	135,83	6	218,1338755
2019-02-01	1386329,31	415380,567	53597,43256	135,72	6	218,2021781
2019-03-01	1428606,53	548738,621	30457,10705	135,87	6	230,1617388
2019-04-01	1454278,57	582538,067	29050,40231	136,47	6	229,3450123
2019-05-01	1508039,89	567671,518	64818,75277	137,4	6	249,7863036
2019-06-01	1513519,72	526610,134	26430,23874	138,16	6	233,5810512
2019-07-01	1487801,78	615267,041	29357,50484	138,59	5,75	221,2341161
2019-08-01	1475544,35	658897,599	31698,18477	138,75	5,5	216,5579585
2019-09-01	1563601,71	680678,613	34185,17834	138,37	5,25	212,3630465
2019-10-01	1504156,28	710725,182	39813,25687	138,4	5	215,7087828
2019-11-01	1553134,22	674149,246	38980,4309	138,6	5	216,5813029
2019-12-01	1565358,44	704987,342	40585,68177	139,07	5	235,0979113
2020-01-01	1484500,12	2370356,473	37124,69762	104,330417	5	217,5387402
2020-02-01	1505491,28	2372349,43	36184,7838	104,62	4,75	216,3577283
2020-03-01	1648727,77	1615530,463	36649,64397	104,72	4,5	219,8980633
2020-04-01	1576444,33	607753,338	36697,57779	104,8	4,5	190,6642455
2020-05-01	1653528,84	505373,276	36286,7264	104,87	4,5	198,2978529
2020-06-01	1637724,85	918234,217	35807,96321	105,06	4,25	193,5696832
2020-07-01	1683270,19	1246898,296	39554,4359	104,95	4	194,0624141
2020-08-01	1765210,74	1222130,293	41744,06245	104,9	4	196,6499128
2020-09-01	1780692,49	1053764,041	45550,2695	104,85	4	193,8297453
2020-10-01	1782220,95	1022954,793	49687,58688	104,92	4	183,4716022
2020-11-01	1799007,5	840144,152	51731,79174	105,21	3,75	181,3357387
2020-12-01	1855692,57	1267986,487	57936,64562	105,68	3,75	190,0583906
2021-01-01	1762295,708	565861,119	54496,49754	105,95	3,75	181,9673627
2021-02-01	1784763,227	542092,909	49065,98384	106,06	3,5	177,125176
2021-03-01	1827391,159	632263,171	56258,73917	106,15	3,5	187,873829
2021-04-01	1850950,911	628781,506	61420,75898	106,29	3,5	220,406968
2021-05-01	1861766,902	715266,377	71025,88999	106,63	3,5	227,512629
2021-06-01	1915429,327	685803,463	64898,46351	106,46	3,5	198,4980181
2021-07-01	1933291,469	655241,843	67664,26943	106,54	3,5	188,4825379
2021-08-01	1938389,629	683135,19	66505,4534	106,57	3,5	192,4602025
2021-09-01	1968434,371	731037,329	73700,51816	106,53	3,5	189,4934305
2021-10-01	2071417,831	753096,907	69078,824	106,66	3,5	195,4636971
2021-11-01	2114703,088	783654,038	72532,42491	107,05	3,5	200,9760089
2021-12-01	2282200,255	887926,404	79806,52587	107,66	3,5	216,2780171
2022-01-01	2149551,5	827200,163	72323,14662	108,26	3,5	209,5563277
2022-02-01	2195617,78	753842,753	68290,15	108,24	3,5	200,0314483
2022-03-01	2254591	851986,988	78039,55883	108,95	3,5	205,3220372
2022-04-01	2327208,49	923432,056	89049,07676	109,98	3,5	239,2442765
2022-05-01	2302911,17	895471,368	81823,81397	110,42	3,5	234,1254057
2022-06-01	2339449,79	933551,764	85823,56283	111,09	3,5	206,6116041
2022-07-01	2296045,42	1025669,665	96735,49956	111,8	3,5	200,1564513
2022-08-01	2279163,49	1078168,331	100582,1961	111,57	3,75	201,8171532
2022-09-01	2320882,57	1076616,632	98546,26643	112,87	4,25	198,13709
2022-10-01	2539067,31	1222590,26	131210,1663	112,75	4,75	202,707268
2022-11-01	2467951,34	1346008,43	132407,2118	112,85	5,25	203,5346922
